建立者,時間,更新者,更新時,代碼,名稱,成交時分秒,成交微秒,成交時間,成交價,成交量,漲跌,漲跌幅,買價,買量,賣價,賣量,開盤價,開盤漲跌,最高價,成交最高價差,最低價,成交最低價差,最高最低價差,參考價,前盤收盤價格,開盤與前盤收盤價差,試撮,總量,交易日,漲停,跌停,索引,Page,市場,小數位數,昨量
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:37:49.360012","UD06","道瓊06","093712","382000","093712.382000","34564.00","1","92.00","0.27","34558.00","2","34563.00","23","34569.00","97.00","34817.00","-253.00","34383.00","181.00","434.00","34472.00","34664.00","-95.00","0","2020","20220411","36885.00","32059.00","4211","1","2","2","245"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:37:51.003601","UN2206","那斯達克2206","093751","928000","093751.928000","14274.00","1","-278.00","-1.91","14274.00","21","14275.00","1","14605.00","53.00","14644.00","-370.00","14274.00","0.00","370.00","14552.00","14333.00","272.00","0","4697","20220411","15570.00","13534.00","4216","2","2","2","579"
"CreateQuote","2022/04/11 08:31:49.081170","UpdateQuote","2022/04/11 09:37:51.236276","TX05","台指05","093740","179000","093740.179000","17170.00","1","-108.00","-0.63","17170.00","5","17173.00","3","17300.00","22.00","17352.00","-182.00","17158.00","12.00","194.00","17278.00","17200.00","100.00","0","1300","20220411","19005.00","15551.00","4171","3","2","2","940"
"CreateQuote","2022/04/11 08:31:49.082170","UpdateQuote","2022/04/11 09:37:51.109512","MTX05","小台05","093751","874000","093751.874000","17172.00","1","-106.00","-0.61","17170.00","19","17174.00","8","17299.00","21.00","17354.00","-182.00","17158.00","14.00","196.00","17278.00","17197.00","102.00","0","7023","20220411","19005.00","15551.00","4178","4","2","2","4363"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:38:24.002305","TSEA","加權指","000000","000000","000000.000000","17241.64","267","-42.90","-0.25","0.00","0","0.00","0","17273.05","-11.49","17316.35","-74.71","17216.99","24.65","99.36","17284.54","17284.54","-11.49","0","90064","20220411","19012.99","15556.09","30001","-1","0","2","246209"
"CreateQuote","2022/04/11 08:31:49.078169","UpdateQuote","2022/04/11 09:38:25.388003","0050","元大台灣50","000000","000000","000000.000000","133.80","1","-0.75","-0.56","133.75","46","133.80","141","134.15","-0.40","134.45","-0.65","133.70","0.10","0.75","134.55","134.55","-0.40","0","2398","20220411","148.00","121.10","0","-1","0","2","8930"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:38:24.427385","00632R","元大台灣50反1","000000","000000","000000.000000","5.34","10","0.03","0.56","5.33","21932","5.34","1093","5.33","0.02","5.35","-0.01","5.31","0.03","0.04","5.31","5.31","0.02","0","25832","20220411","5.84","4.78","17","-1","0","2","135556"
"CreateQuote","2022/04/11 08:31:49.079169","UpdateQuote","2022/04/11 09:38:26.112398","TX06","台指06","000000","000000","000000.000000","17134.00","1","-110.00","-0.64","17133.00","1","17135.00","2","17273.00","29.00","17315.00","-181.00","17127.00","7.00","188.00","17244.00","17162.00","111.00","0","169","20220411","18968.00","15520.00","4172","-1","2","2","77"
"CreateQuote","2022/04/11 08:31:49.080169","UpdateQuote","2022/04/11 09:38:26.361112","MTX06","小台06","000000","000000","000000.000000","17135.00","1","-109.00","-0.63","17132.00","1","17136.00","6","17258.00","14.00","17319.00","-184.00","17126.00","9.00","193.00","17244.00","17165.00","93.00","0","898","20220411","18968.00","15520.00","4179","-1","2","2","570"
"CreateQuote","2022/04/11 08:31:49.080169","OnNotifyTicks","2022/04/11 09:38:26.089096","2330","台積電","093827","114074","093827.114074","566.00","1","-1.00","-0.18","565.00","37","566.00","560","563.00","-4.00","566.00","0.00","562.00","4.00","4.00","567.00","567.00","-4.00","0","6611","20220411","623.00","511.00","29157","0","0","2","27971"
